archive/imo/imo1959_q1.lean : line 9 : ERR_MOD : Module docstring missing, or too late
archive/imo/imo1969_q1.lean : line 11 : ERR_MOD : Module docstring missing, or too late
archive/imo/imo1972_b2.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/algebra/archimedean.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/algebra/category/Algebra/basic.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/algebra/category/Module/basic.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/algebra/char_zero.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/algebra/euclidean_domain.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/algebra/field.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/algebra/field_power.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/algebra/geom_sum.lean : line 13 : ERR_MOD : Module docstring missing, or too late
src/algebra/group/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/algebra/group/with_one.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/algebra/ordered_group.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/algebra/ordered_ring.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/algebra/polynomial/big_operators.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/algebra/punit_instances.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/analysis/normed_space/add_torsor.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/analysis/normed_space/bounded_linear_maps.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/analysis/special_functions/arsinh.lean : line 7 : ERR_MOD : Module docstring missing, or too late
src/category_theory/adjunction/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/adjunction/fully_faithful.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/adjunction/limits.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/category/Kleisli.lean : line 12 : ERR_MOD : Module docstring missing, or too late
src/category_theory/const.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/core.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/currying.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/discrete_category.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/endomorphism.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/category_theory/epi_mono.lean : line 14 : ERR_MOD : Module docstring missing, or too late
src/category_theory/eq_to_hom.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/equivalence.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/full_subcategory.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/fully_faithful.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/functor_category.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/functor.lean : line 17 : ERR_MOD : Module docstring missing, or too late
src/category_theory/groupoid.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/cones.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/creates.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/functor_category.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/lattice.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/opposites.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/over.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/preserves/shapes.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/constructions/binary_products.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/constructions/over/default.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/constructions/over/products.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/constructions/pullbacks.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/finite_products.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/shapes/products.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/limits/types.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/monad/adjunction.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/monad/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/monad/limits.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/natural_transformation.lean : line 16 : ERR_MOD : Module docstring missing, or too late
src/category_theory/opposites.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/products/associator.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/products/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/products/bifunctor.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/punit.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/category_theory/reflects_isomorphisms.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/simple.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/category_theory/sums/associator.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/sums/basic.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/category_theory/whiskering.lean : line 8 : ERR_MOD : Module docstring missing, or too late
src/computability/partrec_code.lean : line 10 : ERR_MOD : Module docstring missing, or too late
src/control/applicative.lean : line 11 : ERR_MOD : Module docstring missing, or too late
src/control/basic.lean : line 9 : ERR_MOD : Module docstring missing, or too late
src/control/bifunctor.lean : line 12 : ERR_MOD : Module docstring missing, or too late
